precision_threshold,mrfh,hit_cases,hit_rate_pct,threshold_type,method,task,hit_rate_base,mrfh_base,baseline_threshold,hit_rate_drop_pp,mrfh_drop
0.95,0.3107,491,61.1,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,25.9,0.2933
1.0,0.0,0,0.0,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,87.0,0.604
0.0,0.7918,737,85.8,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,-1.5999999999999943,-0.016899999999999915
0.05,0.7749,723,84.2,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,0.0,0.0
0.1,0.7652,715,83.2,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,1.0,0.009700000000000042
0.15,0.7591,712,82.9,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,1.2999999999999972,0.015800000000000036
0.2,0.7533,708,82.4,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,1.7999999999999972,0.021600000000000064
0.25,0.7489,705,82.1,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,2.1000000000000085,0.026000000000000023
0.3,0.7448,702,81.7,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,2.5,0.030100000000000016
0.35,0.7342,693,80.7,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,3.5,0.04070000000000007
0.4,0.7315,691,80.4,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,3.799999999999997,0.043399999999999994
0.45,0.7254,688,80.1,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,4.1000000000000085,0.04949999999999999
0.5,0.7248,687,80.0,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,4.200000000000003,0.05010000000000003
0.55,0.7242,687,80.0,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,4.200000000000003,0.05070000000000008
0.6,0.716,681,79.3,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,4.900000000000006,0.05890000000000006
0.65,0.709,676,78.7,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,5.5,0.06590000000000007
0.7,0.7046,671,78.1,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,6.1000000000000085,0.07030000000000003
0.75,0.6979,666,77.5,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,6.700000000000003,0.07700000000000007
0.8,0.6928,662,77.1,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,7.1000000000000085,0.08210000000000006
0.85,0.687,657,76.5,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,7.700000000000003,0.08789999999999998
0.9,0.6722,644,75.0,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,9.200000000000003,0.10270000000000001
0.95,0.6469,623,72.5,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,11.700000000000003,0.128
1.0,0.0,0,0.0,precision,Pathology-CoT,TCGA_LUNG_Classification,84.2,0.7749,0.05,84.2,0.7749
0.0,0.6699,742,86.5,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,-0.5,-0.017300000000000093
0.05,0.6526,738,86.0,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,0.0,0.0
0.1,0.6471,736,85.8,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,0.20000000000000284,0.005499999999999949
0.15,0.6402,732,85.3,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,0.7000000000000028,0.012399999999999967
0.2,0.6342,725,84.5,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,1.5,0.018399999999999972
0.25,0.628,723,84.3,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,1.7000000000000028,0.024599999999999955
0.3,0.619,720,83.9,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,2.0999999999999943,0.03359999999999996
0.35,0.614,717,83.6,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,2.4000000000000057,0.03859999999999997
0.4,0.61,717,83.6,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,2.4000000000000057,0.04259999999999997
0.45,0.6071,715,83.3,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,2.700000000000003,0.045499999999999985
0.5,0.6021,712,83.0,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,3.0,0.05049999999999999
0.55,0.5969,710,82.8,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,3.200000000000003,0.05569999999999997
0.6,0.5931,709,82.6,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,3.4000000000000057,0.0595
0.65,0.5915,709,82.6,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,3.4000000000000057,0.06109999999999993
0.7,0.5848,702,81.8,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,4.200000000000003,0.06779999999999997
0.75,0.58,700,81.6,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,4.400000000000006,0.0726
0.8,0.5712,693,80.8,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,5.200000000000003,0.08139999999999992
0.85,0.5688,690,80.4,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,5.599999999999994,0.08379999999999999
0.9,0.5633,686,80.0,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,6.0,0.08929999999999993
0.95,0.5517,676,78.8,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,7.200000000000003,0.10089999999999999
1.0,0.0,0,0.0,precision,slide_seek,TCGA_LUNG_Classification,86.0,0.6526,0.05,86.0,0.6526
