precision_threshold,mrfh,hit_cases,hit_rate_pct,threshold_type,method,task,hit_rate_base,mrfh_base,baseline_threshold,hit_rate_drop_pp,mrfh_drop
0.35,0.174,15,31.2,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,8.400000000000002,0.055400000000000005
0.4,0.1561,15,31.2,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,8.400000000000002,0.0733
0.45,0.1561,15,31.2,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,8.400000000000002,0.0733
0.5,0.1462,13,27.1,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,12.5,0.0832
0.55,0.1462,13,27.1,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,12.5,0.0832
0.6,0.1427,13,27.1,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,12.5,0.0867
0.65,0.1386,12,25.0,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,14.600000000000001,0.09079999999999999
0.7,0.1286,10,20.8,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,18.8,0.1008
0.75,0.1182,10,20.8,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,18.8,0.1112
0.8,0.0844,7,14.6,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,25.0,0.145
0.85,0.0771,5,10.4,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,29.200000000000003,0.1523
0.9,0.0729,4,8.3,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,31.3,0.15649999999999997
0.95,0.0573,4,8.3,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,31.3,0.1721
1.0,0.0,0,0.0,precision,Pathology-CoT,CAMELYON16_detection,39.6,0.2294,0.05,39.6,0.2294
0.0,0.0451,4,8.3,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,0.0,0.0
0.05,0.0451,4,8.3,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,0.0,0.0
0.1,0.0451,4,8.3,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,0.0,0.0
