source,n,slope,intercept,r,r2,p_value,std_err
Evidence,12,0.819099960424804,0.037766904133089474,0.7830182991686166,0.6131176568329132,0.002597140398760006,0.20575691893952694
Uncertainty,8,0.47402456036525337,0.28128607494962515,0.6381890356526105,0.407285245227209,0.0886029273754345,0.233452618546334
