precision_threshold,mean_hit_rate_pct,min_hit_rate_pct,mean_hit_rate_drop_pp,max_hit_rate_drop_pp,mean_mrfh,mean_mrfh_drop,max_mrfh_drop,reviewer_friendly_score
0.05,66.81666666666666,8.3,0.0,0.0,0.48305,0.0,0.0,0.5
0.1,64.46666666666665,8.3,2.349999999999999,8.400000000000006,0.4660666666666667,0.016983333333333336,0.038199999999999984,-18.489666666666675
0.15,63.241666666666674,8.3,3.5749999999999993,12.500000000000004,0.45437500000000003,0.028674999999999992,0.061799999999999994,-27.648500000000006
0.2,62.050000000000004,6.2,4.7666666666666675,14.600000000000001,0.440575,0.04247500000000001,0.07689999999999997,-32.81616666666667
0.25,61.20833333333334,6.2,5.608333333333333,14.600000000000001,0.4330333333333333,0.05001666666666666,0.08809999999999996,-33.30866666666667
0.3,60.4,6.2,6.416666666666667,16.700000000000003,0.42495,0.05809999999999999,0.10959999999999998,-37.97866666666667
0.35,59.449999999999996,6.2,7.366666666666667,18.800000000000004,0.41596666666666665,0.06708333333333334,0.1311,-42.808333333333344
0.4,58.80833333333333,6.2,8.008333333333335,20.900000000000002,0.4069416666666666,0.07610833333333333,0.14699999999999996,-47.3305
0.45,57.23333333333334,4.2,9.583333333333336,25.000000000000004,0.394075,0.08897499999999998,0.16919999999999996,-56.86283333333334
0.5,55.73333333333334,4.2,11.083333333333334,25.000000000000004,0.3836916666666666,0.09935833333333333,0.19490000000000002,-58.07050000000001
0.55,55.21666666666667,4.2,11.6,25.599999999999994,0.377775,0.10527500000000001,0.2187,-59.40549999999999
0.6,54.01666666666666,4.2,12.800000000000002,29.200000000000003,0.36948333333333333,0.11356666666666666,0.23440000000000005,-67.47133333333333
0.65,53.150000000000006,4.2,13.66666666666667,29.200000000000003,0.3598166666666667,0.12323333333333335,0.26110000000000005,-68.03133333333335
0.7,51.92499999999999,4.2,14.891666666666667,31.300000000000004,0.35236666666666666,0.13068333333333335,0.28350000000000003,-73.10533333333333
0.75,50.71666666666667,4.2,16.1,31.300000000000004,0.34325,0.1398,0.3028,-73.99600000000002
0.8,49.39166666666667,4.2,17.425,32.599999999999994,0.3323416666666667,0.15070833333333333,0.32880000000000004,-77.63916666666665
0.85,47.86666666666667,4.2,18.95,34.89999999999999,0.32089999999999996,0.16215000000000002,0.35400000000000004,-83.49299999999998
0.9,46.94166666666666,4.2,19.875,36.099999999999994,0.3137583333333333,0.1692916666666667,0.37070000000000003,-86.46083333333333
0.95,45.349999999999994,4.2,21.46666666666667,36.099999999999994,0.297475,0.18557500000000002,0.40240000000000004,-87.87816666666666
1.0,0.0,0.0,66.81666666666666,87.0,0.0,0.48305,0.7749,-240.47766666666666
