precision_threshold,mrfh,hit_cases,hit_rate_pct,threshold_type,method,task
0.05,0.7435,84,85.7,precision,Pathology-CoT,TCGA_BRCA_subtype
0.1,0.7428,84,85.7,precision,Pathology-CoT,TCGA_BRCA_subtype
0.15,0.7275,83,84.7,precision,Pathology-CoT,TCGA_BRCA_subtype
0.2,0.7275,83,84.7,precision,Pathology-CoT,TCGA_BRCA_subtype
0.25,0.7275,83,84.7,precision,Pathology-CoT,TCGA_BRCA_subtype
0.3,0.7275,83,84.7,precision,Pathology-CoT,TCGA_BRCA_subtype
0.35,0.716,81,82.7,precision,Pathology-CoT,TCGA_BRCA_subtype
0.4,0.7049,80,81.6,precision,Pathology-CoT,TCGA_BRCA_subtype
0.45,0.6845,78,79.6,precision,Pathology-CoT,TCGA_BRCA_subtype
0.5,0.6743,77,78.6,precision,Pathology-CoT,TCGA_BRCA_subtype
0.55,0.6743,77,78.6,precision,Pathology-CoT,TCGA_BRCA_subtype
0.6,0.6726,77,78.6,precision,Pathology-CoT,TCGA_BRCA_subtype
0.65,0.6573,76,77.6,precision,Pathology-CoT,TCGA_BRCA_subtype
0.7,0.6522,75,76.5,precision,Pathology-CoT,TCGA_BRCA_subtype
0.75,0.642,74,75.5,precision,Pathology-CoT,TCGA_BRCA_subtype
0.8,0.6384,74,75.5,precision,Pathology-CoT,TCGA_BRCA_subtype
0.85,0.6282,73,74.5,precision,Pathology-CoT,TCGA_BRCA_subtype
0.9,0.618,72,73.5,precision,Pathology-CoT,TCGA_BRCA_subtype
0.95,0.5924,69,70.4,precision,Pathology-CoT,TCGA_BRCA_subtype
1.0,0.0,0,0.0,precision,Pathology-CoT,TCGA_BRCA_subtype
0.0,0.7918,737,85.8,precision,Pathology-CoT,TCGA_LUNG_Classification
0.05,0.7749,723,84.2,precision,Pathology-CoT,TCGA_LUNG_Classification
0.1,0.7652,715,83.2,precision,Pathology-CoT,TCGA_LUNG_Classification
0.15,0.7591,712,82.9,precision,Pathology-CoT,TCGA_LUNG_Classification
0.2,0.7533,708,82.4,precision,Pathology-CoT,TCGA_LUNG_Classification
0.25,0.7489,705,82.1,precision,Pathology-CoT,TCGA_LUNG_Classification
0.3,0.7448,702,81.7,precision,Pathology-CoT,TCGA_LUNG_Classification
0.35,0.7342,693,80.7,precision,Pathology-CoT,TCGA_LUNG_Classification
0.4,0.7315,691,80.4,precision,Pathology-CoT,TCGA_LUNG_Classification
0.45,0.7254,688,80.1,precision,Pathology-CoT,TCGA_LUNG_Classification
0.5,0.7248,687,80.0,precision,Pathology-CoT,TCGA_LUNG_Classification
0.55,0.7242,687,80.0,precision,Pathology-CoT,TCGA_LUNG_Classification
0.6,0.716,681,79.3,precision,Pathology-CoT,TCGA_LUNG_Classification
0.65,0.709,676,78.7,precision,Pathology-CoT,TCGA_LUNG_Classification
0.7,0.7046,671,78.1,precision,Pathology-CoT,TCGA_LUNG_Classification
0.75,0.6979,666,77.5,precision,Pathology-CoT,TCGA_LUNG_Classification
0.8,0.6928,662,77.1,precision,Pathology-CoT,TCGA_LUNG_Classification
0.85,0.687,657,76.5,precision,Pathology-CoT,TCGA_LUNG_Classification
0.9,0.6722,644,75.0,precision,Pathology-CoT,TCGA_LUNG_Classification
0.95,0.6469,623,72.5,precision,Pathology-CoT,TCGA_LUNG_Classification
1.0,0.0,0,0.0,precision,Pathology-CoT,TCGA_LUNG_Classification
0.0,0.0953,28,45.9,precision,PathAgent,CAMELYON16_detection
0.05,0.0604,23,37.7,precision,PathAgent,CAMELYON16_detection
0.1,0.045,18,29.5,precision,PathAgent,CAMELYON16_detection
0.15,0.0427,17,27.9,precision,PathAgent,CAMELYON16_detection
0.2,0.0426,17,27.9,precision,PathAgent,CAMELYON16_detection
0.25,0.0418,16,26.2,precision,PathAgent,CAMELYON16_detection
0.3,0.037,16,26.2,precision,PathAgent,CAMELYON16_detection
0.35,0.037,16,26.2,precision,PathAgent,CAMELYON16_detection
0.4,0.037,16,26.2,precision,PathAgent,CAMELYON16_detection
0.45,0.0343,15,24.6,precision,PathAgent,CAMELYON16_detection
0.5,0.0322,13,21.3,precision,PathAgent,CAMELYON16_detection
0.55,0.0306,12,19.7,precision,PathAgent,CAMELYON16_detection
0.6,0.03,11,18.0,precision,PathAgent,CAMELYON16_detection
0.65,0.03,11,18.0,precision,PathAgent,CAMELYON16_detection
0.7,0.0299,11,18.0,precision,PathAgent,CAMELYON16_detection
0.75,0.0299,11,18.0,precision,PathAgent,CAMELYON16_detection
0.8,0.0299,11,18.0,precision,PathAgent,CAMELYON16_detection
0.85,0.0291,10,16.4,precision,PathAgent,CAMELYON16_detection
0.9,0.0291,10,16.4,precision,PathAgent,CAMELYON16_detection
0.95,0.0109,8,13.1,precision,PathAgent,CAMELYON16_detection
1.0,0.0,0,0.0,precision,PathAgent,CAMELYON16_detection
0.0,0.4671,72,83.7,precision,PathAgent,TCGA_BRCA_subtype
0.05,0.4415,68,79.1,precision,PathAgent,TCGA_BRCA_subtype
0.1,0.4142,66,76.7,precision,PathAgent,TCGA_BRCA_subtype
0.15,0.4017,65,75.6,precision,PathAgent,TCGA_BRCA_subtype
0.2,0.3806,63,73.3,precision,PathAgent,TCGA_BRCA_subtype
0.25,0.3654,61,70.9,precision,PathAgent,TCGA_BRCA_subtype
0.3,0.3445,57,66.3,precision,PathAgent,TCGA_BRCA_subtype
0.35,0.321,55,64.0,precision,PathAgent,TCGA_BRCA_subtype
0.4,0.2988,54,62.8,precision,PathAgent,TCGA_BRCA_subtype
0.45,0.2733,51,59.3,precision,PathAgent,TCGA_BRCA_subtype
0.5,0.267,47,54.7,precision,PathAgent,TCGA_BRCA_subtype
0.55,0.2526,46,53.5,precision,PathAgent,TCGA_BRCA_subtype
0.6,0.2341,45,52.3,precision,PathAgent,TCGA_BRCA_subtype
0.65,0.2282,45,52.3,precision,PathAgent,TCGA_BRCA_subtype
0.7,0.2185,45,52.3,precision,PathAgent,TCGA_BRCA_subtype
0.75,0.2138,42,48.8,precision,PathAgent,TCGA_BRCA_subtype
0.8,0.1981,40,46.5,precision,PathAgent,TCGA_BRCA_subtype
0.85,0.1693,38,44.2,precision,PathAgent,TCGA_BRCA_subtype
0.9,0.1576,37,43.0,precision,PathAgent,TCGA_BRCA_subtype
0.95,0.1489,37,43.0,precision,PathAgent,TCGA_BRCA_subtype
1.0,0.0,0,0.0,precision,PathAgent,TCGA_BRCA_subtype
0.0,0.6364,721,89.8,precision,PathAgent,TCGA_LUNG_Classification
0.05,0.604,699,87.0,precision,PathAgent,TCGA_LUNG_Classification
0.1,0.5811,686,85.4,precision,PathAgent,TCGA_LUNG_Classification
0.15,0.5602,672,83.7,precision,PathAgent,TCGA_LUNG_Classification
0.2,0.5387,659,82.1,precision,PathAgent,TCGA_LUNG_Classification
0.25,0.5159,646,80.4,precision,PathAgent,TCGA_LUNG_Classification
0.3,0.4944,633,78.8,precision,PathAgent,TCGA_LUNG_Classification
0.35,0.4729,623,77.6,precision,PathAgent,TCGA_LUNG_Classification
0.4,0.457,616,76.7,precision,PathAgent,TCGA_LUNG_Classification
0.45,0.4348,598,74.5,precision,PathAgent,TCGA_LUNG_Classification
0.5,0.4208,585,72.9,precision,PathAgent,TCGA_LUNG_Classification
0.55,0.4062,573,71.4,precision,PathAgent,TCGA_LUNG_Classification
0.6,0.3935,559,69.6,precision,PathAgent,TCGA_LUNG_Classification
0.65,0.3764,550,68.5,precision,PathAgent,TCGA_LUNG_Classification
0.7,0.3631,541,67.4,precision,PathAgent,TCGA_LUNG_Classification
0.75,0.3519,527,65.6,precision,PathAgent,TCGA_LUNG_Classification
0.8,0.3409,516,64.3,precision,PathAgent,TCGA_LUNG_Classification
0.85,0.3301,506,63.0,precision,PathAgent,TCGA_LUNG_Classification
0.9,0.3209,500,62.3,precision,PathAgent,TCGA_LUNG_Classification
0.95,0.3107,491,61.1,precision,PathAgent,TCGA_LUNG_Classification
1.0,0.0,0,0.0,precision,PathAgent,TCGA_LUNG_Classification
0.0,0.2358,32,66.7,precision,CPathAgent,CAMELYON16_detection
0.05,0.1777,20,41.7,precision,CPathAgent,CAMELYON16_detection
0.1,0.1395,16,33.3,precision,CPathAgent,CAMELYON16_detection
0.15,0.1159,14,29.2,precision,CPathAgent,CAMELYON16_detection
0.2,0.1084,13,27.1,precision,CPathAgent,CAMELYON16_detection
0.25,0.1084,13,27.1,precision,CPathAgent,CAMELYON16_detection
0.3,0.1077,12,25.0,precision,CPathAgent,CAMELYON16_detection
0.35,0.0956,11,22.9,precision,CPathAgent,CAMELYON16_detection
0.4,0.0942,10,20.8,precision,CPathAgent,CAMELYON16_detection
0.45,0.089,8,16.7,precision,CPathAgent,CAMELYON16_detection
0.5,0.0705,8,16.7,precision,CPathAgent,CAMELYON16_detection
0.55,0.0705,8,16.7,precision,CPathAgent,CAMELYON16_detection
0.6,0.0651,6,12.5,precision,CPathAgent,CAMELYON16_detection
0.65,0.0651,6,12.5,precision,CPathAgent,CAMELYON16_detection
0.7,0.0625,5,10.4,precision,CPathAgent,CAMELYON16_detection
0.75,0.0625,5,10.4,precision,CPathAgent,CAMELYON16_detection
0.8,0.0625,5,10.4,precision,CPathAgent,CAMELYON16_detection
0.85,0.0486,5,10.4,precision,CPathAgent,CAMELYON16_detection
0.9,0.0486,5,10.4,precision,CPathAgent,CAMELYON16_detection
0.95,0.0486,5,10.4,precision,CPathAgent,CAMELYON16_detection
1.0,0.0,0,0.0,precision,CPathAgent,CAMELYON16_detection
0.0,0.7164,81,87.1,precision,CPathAgent,TCGA_BRCA_subtype
0.05,0.6916,79,84.9,precision,CPathAgent,TCGA_BRCA_subtype
0.1,0.6638,79,84.9,precision,CPathAgent,TCGA_BRCA_subtype
0.15,0.643,78,83.9,precision,CPathAgent,TCGA_BRCA_subtype
0.2,0.6147,77,82.8,precision,CPathAgent,TCGA_BRCA_subtype
0.25,0.6093,76,81.7,precision,CPathAgent,TCGA_BRCA_subtype
0.3,0.5908,76,81.7,precision,CPathAgent,TCGA_BRCA_subtype
0.35,0.5878,74,79.6,precision,CPathAgent,TCGA_BRCA_subtype
0.4,0.5816,74,79.6,precision,CPathAgent,TCGA_BRCA_subtype
0.45,0.561,73,78.5,precision,CPathAgent,TCGA_BRCA_subtype
0.5,0.5341,72,77.4,precision,CPathAgent,TCGA_BRCA_subtype
0.55,0.5314,72,77.4,precision,CPathAgent,TCGA_BRCA_subtype
0.6,0.5085,70,75.3,precision,CPathAgent,TCGA_BRCA_subtype
0.65,0.4716,68,73.1,precision,CPathAgent,TCGA_BRCA_subtype
0.7,0.4566,65,69.9,precision,CPathAgent,TCGA_BRCA_subtype
0.75,0.4145,60,64.5,precision,CPathAgent,TCGA_BRCA_subtype
0.8,0.3948,59,63.4,precision,CPathAgent,TCGA_BRCA_subtype
0.85,0.3628,55,59.1,precision,CPathAgent,TCGA_BRCA_subtype
0.9,0.3494,54,58.1,precision,CPathAgent,TCGA_BRCA_subtype
0.95,0.3226,53,57.0,precision,CPathAgent,TCGA_BRCA_subtype
1.0,0.0,0,0.0,precision,CPathAgent,TCGA_BRCA_subtype
0.0,0.6938,575,83.1,precision,CPathAgent,TCGA_LUNG_Classification
0.05,0.6701,565,81.6,precision,CPathAgent,TCGA_LUNG_Classification
0.1,0.6511,557,80.5,precision,CPathAgent,TCGA_LUNG_Classification
0.15,0.6328,548,79.2,precision,CPathAgent,TCGA_LUNG_Classification
0.2,0.6174,543,78.5,precision,CPathAgent,TCGA_LUNG_Classification
0.25,0.5925,532,76.9,precision,CPathAgent,TCGA_LUNG_Classification
0.3,0.5785,528,76.3,precision,CPathAgent,TCGA_LUNG_Classification
