case,method,task,threshold,roi_rows,hit_at_thr005,first_hit_rank_thr005,max_precision,mean_precision,max_precision_ge_thr005,mean_precision_ge_thr005,agg_precision,agg_recall,agg_iou,roi_source,correct,has_matching_correct
TCGA-55-8616-01Z-00-DX1.4F53B2AB-8221-4E67-80D2-7A8E3815B730,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-55-8620-01Z-00-DX1.6591EEC4-D696-4826-80BD-99BE1D99EBB8,CPathAgent,TCGA_LUNG_Classification,0.05,2,True,1.0,0.9642,0.9105,0.9642,0.9105,0.8674,0.481,0.4481,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-55-8621-01Z-00-DX1.7C519007-D59D-432A-BF4D-23D14A1C8BB6,CPathAgent,TCGA_LUNG_Classification,0.05,7,True,7.0,0.4427,0.06324285714285714,0.4427,0.4427,0.2004,0.265,0.1288,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-55-A48X-01Z-00-DX1.A46C6373-8458-4D55-88C3-4C70A05F9F47,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-55-A490-01Z-00-DX1.07D77502-7216-4C23-9BB8-8DE99AECC920,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,1.0,1.0,0.7906333333333334,1.0,0.7906333333333334,0.5831,0.1235,0.1135,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-55-A493-01Z-00-DX1.1CF94B85-7A64-4213-9B04-16504512DE2E,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-55-A4DF-01Z-00-DX1.C945E1AD-BEF4-403F-BB11-BAC831D24CDA,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-55-A4DG-01Z-00-DX1.9CE9B7BE-48EF-44F1-9C25-F15700A3E5DE,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-55-A57B-01Z-00-DX1.8D3C7063-3AF6-4839-A656-F844EC0AF9DB,CPathAgent,TCGA_LUNG_Classification,0.05,5,True,5.0,0.32,0.064,0.32,0.32,0.1606,0.5377,0.1411,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-1622-01Z-00-DX1.d4178664-1e21-452f-9dbf-1b23467ddabc,CPathAgent,TCGA_LUNG_Classification,0.05,4,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-5897-01Z-00-DX1.776271b1-77a9-4653-8ed3-13294c9fc056,CPathAgent,TCGA_LUNG_Classification,0.05,7,True,1.0,0.781,0.27227142857142855,0.781,0.37152,0.1636,0.2607,0.1118,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-5898-01Z-00-DX1.d539fc8b-ae31-4820-8c2e-5cf587958eb3,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-56-6545-01Z-00-DX1.24a6678b-2dbf-4539-844e-1e3786c3fac3,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,1.0,0.835,0.2783333333333333,0.835,0.835,0.0928,0.1034,0.0514,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-6546-01Z-00-DX1.4fecf41b-6757-4c0d-98c4-24b9a65144f1,CPathAgent,TCGA_LUNG_Classification,0.05,4,False,,0.0413,0.0174,,,0.007,0.0062,0.0033,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-7221-01Z-00-DX1.f897f1ee-2796-4183-9312-f47871383327,CPathAgent,TCGA_LUNG_Classification,0.05,2,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-7222-01Z-00-DX1.f932abe9-4f5c-46d8-908b-29669681d2db,CPathAgent,TCGA_LUNG_Classification,0.05,7,True,1.0,0.3732,0.15588571428571427,0.3732,0.2726,0.1551,0.4196,0.1277,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-7223-01Z-00-DX1.dd01c478-6dfa-4757-85fd-d956d70ec372,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,3.0,0.5285,0.17616666666666667,0.5285,0.5285,0.2643,0.071,0.0593,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-7579-01Z-00-DX1.627f65b9-ac66-4f71-a6f4-394338b647f0,CPathAgent,TCGA_LUNG_Classification,0.05,6,True,1.0,0.7951,0.2677333333333333,0.7951,0.40159999999999996,0.2222,0.4736,0.1782,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-7582-01Z-00-DX1.81e6c419-f6a1-49cf-9a83-7c1a679fbfc6,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,1.0,1.0,0.8786666666666667,1.0,0.8786666666666667,0.6366,0.1582,0.1451,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-7730-01Z-00-DX1.6f127663-c517-4b5d-99a6-a3cd314304b1,CPathAgent,TCGA_LUNG_Classification,0.05,7,True,1.0,0.6834,0.3209428571428572,0.6834,0.5616500000000001,0.1513,0.5622,0.1354,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-7731-01Z-00-DX1.e205943f-cb2e-4006-b3be-b07d95fea663,CPathAgent,TCGA_LUNG_Classification,0.05,2,True,1.0,0.6492,0.3246,0.6492,0.6492,0.1299,0.1164,0.0654,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-7822-01Z-00-DX1.c387e241-ff4c-44ef-af45-12a85066f0ce,CPathAgent,TCGA_LUNG_Classification,0.05,5,True,1.0,0.8329,0.3922,0.8329,0.6536666666666666,0.2719,0.2383,0.1455,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-7823-01Z-00-DX1.354861d2-79f1-4b70-a74e-20cb0f78468e,CPathAgent,TCGA_LUNG_Classification,0.05,2,True,1.0,0.8918,0.59665,0.8918,0.59665,0.3018,0.29,0.1736,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-8082-01Z-00-DX1.f0056ce7-58cf-4fc7-b249-ddeadeafafb3,CPathAgent,TCGA_LUNG_Classification,0.05,4,True,1.0,0.4771,0.22635,0.4771,0.22635,0.1543,1.0,0.1543,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-8083-01Z-00-DX1.140c8d5b-f660-4fef-b8da-6bb2c119c021,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-56-8201-01Z-00-DX1.883903fb-d70d-4c72-be76-6788b1bc3b35,CPathAgent,TCGA_LUNG_Classification,0.05,4,True,1.0,0.7831,0.625275,0.7831,0.625275,0.5048,0.9703,0.4971,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-8304-01Z-00-DX1.F7A7975D-C8AB-49C0-B9CD-18CFD01A0655,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-56-8305-01Z-00-DX1.2C1D792D-79E0-48D7-9938-DFD44428874E,CPathAgent,TCGA_LUNG_Classification,0.05,2,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-8307-01Z-00-DX1.20EE4B4C-403F-44AA-8B0E-711003E60B8F,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-56-8308-01Z-00-DX1.48CAE02B-05B1-4681-B68C-DD32C414FD2D,CPathAgent,TCGA_LUNG_Classification,0.05,4,True,3.0,0.9962,0.420425,0.9962,0.84085,0.5474,0.2203,0.1863,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-8309-01Z-00-DX1.5FC5FA81-405A-48AB-AA7D-2D38003A8942,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,2.0,0.365,0.12166666666666666,0.365,0.365,0.1622,0.3409,0.1235,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-8503-01Z-00-DX1.87FEB654-FC88-4CDA-8F52-ACF0D9A19191,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-56-8504-01Z-00-DX1.032AF45F-89C3-4265-8287-A455780DA887,CPathAgent,TCGA_LUNG_Classification,0.05,7,True,1.0,0.4359,0.1709142857142857,0.4359,0.23247999999999996,0.138,0.4092,0.1151,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-8622-01Z-00-DX1.62B552C4-5CBE-4469-8DBB-E27497FF95F4,CPathAgent,TCGA_LUNG_Classification,0.05,4,True,1.0,1.0,0.5,1.0,1.0,0.226,0.1121,0.081,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-8623-01Z-00-DX1.119C11E2-16E4-48A9-B8BD-6F1E8CBFEBA1,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,1.0,1.0,0.7380999999999999,1.0,0.7380999999999999,0.4978,0.1374,0.1207,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-8624-01Z-00-DX1.18DFDAB8-1701-4E15-9321-7D99CD15E4B0,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-56-8625-01Z-00-DX1.11AADFB3-33FF-4EAA-B423-CD0F07163747,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,1.0,0.6941,0.4283666666666666,0.6941,0.4283666666666666,0.4232,0.135,0.114,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-8626-01Z-00-DX1.C9836EAF-F005-40E9-B781-1D5586141F0D,CPathAgent,TCGA_LUNG_Classification,0.05,2,True,1.0,0.8498,0.4249,0.8498,0.8498,0.2203,0.0653,0.053,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-8628-01Z-00-DX1.AAC57164-E0F9-4DF0-87EA-5C50FB201895,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-56-8629-01Z-00-DX1.6F79BFD6-36B0-46F4-918B-2F4FF083E3E3,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-56-A49D-01Z-00-DX1.1ECF40A0-1490-42B3-8924-A80E4ED35F93,CPathAgent,TCGA_LUNG_Classification,0.05,4,True,3.0,0.0588,0.0147,0.0588,0.0588,0.0268,0.0105,0.0076,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-A4BW-01Z-00-DX1.8ED20788-092B-4C21-9D83-5423D853422F,CPathAgent,TCGA_LUNG_Classification,0.05,13,True,2.0,0.8889,0.20592307692307696,0.8889,0.43838333333333335,0.1783,0.4348,0.1448,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-A4BX-01Z-00-DX1.60E64193-473C-4220-9E38-0F5D952BD157,CPathAgent,TCGA_LUNG_Classification,0.05,4,True,1.0,1.0,0.6648000000000001,1.0,0.8864000000000001,0.3798,0.2756,0.19,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-A4BY-01Z-00-DX1.DCA0D153-7DB7-44FB-A87A-20931D36856A,CPathAgent,TCGA_LUNG_Classification,0.05,2,True,2.0,0.2326,0.1199,0.2326,0.2326,0.2057,0.0615,0.0497,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-A4ZJ-01Z-00-DX1.6BB25D9D-75E7-4B44-8560-8A3C3EC9F118,CPathAgent,TCGA_LUNG_Classification,0.05,2,True,1.0,0.4209,0.41925,0.4209,0.41925,0.4209,0.6479,0.3425,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-56-A4ZK-01Z-00-DX1.D6B1AC68-BF70-4C49-A5A1-233D6DA4AE27,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,1.0,0.3884,0.16623333333333334,0.3884,0.24935000000000002,0.0643,0.0469,0.0279,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-A5DR-01Z-00-DX1.F8F196F2-9380-490E-9D77-ABAC1E58BC5C,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,1.0,0.9988,0.4887333333333333,0.9988,0.7331,0.2338,0.4045,0.1739,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-56-A5DS-01Z-00-DX1.952C8777-4B8F-415A-9D27-C155D1623A86,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-56-A62T-01Z-00-DX1.05B9E747-DF22-4FFB-A79A-C023AB667CA0,CPathAgent,TCGA_LUNG_Classification,0.05,6,True,1.0,0.9934,0.44415000000000004,0.9934,0.6662250000000001,0.2347,0.2468,0.1367,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-58-A46J-01Z-00-DX1.4BF4AAC3-2020-41EA-A181-5E90A23DA024,CPathAgent,TCGA_LUNG_Classification,0.05,7,True,4.0,0.4158,0.15655714285714284,0.4158,0.272875,0.2536,0.0611,0.0518,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-58-A46K-01Z-00-DX1.A293339A-A592-4CA2-AE49-CDDD0810C624,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-58-A46L-01Z-00-DX1.DA77E0D9-23A2-4D54-81E9-36849E04FBC8,CPathAgent,TCGA_LUNG_Classification,0.05,8,True,1.0,1.0,0.8260625,1.0,0.9440714285714286,0.7243,0.2384,0.2185,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-58-A46M-01Z-00-DX1.DCC711DA-EB83-498E-9AFA-33E874EA537C,CPathAgent,TCGA_LUNG_Classification,0.05,7,True,2.0,1.0,0.658,1.0,0.7676666666666666,0.7084,0.2969,0.2646,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-58-A46N-01Z-00-DX1.5D51252C-5294-4E40-ABB2-31C3BE1039F8,CPathAgent,TCGA_LUNG_Classification,0.05,20,True,1.0,1.0,0.35018999999999995,1.0,0.6321272727272728,0.2767,0.3522,0.1833,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2695-01Z-00-DX1.4cc6c566-d60d-4ff9-9ea8-18a9da46ae6b,CPathAgent,TCGA_LUNG_Classification,0.05,18,True,1.0,1.0,0.6676666666666667,1.0,0.750725,0.5685,0.3409,0.2708,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2696-01Z-00-DX1.17748315-09b2-4abd-97f1-93c9951b0a70,CPathAgent,TCGA_LUNG_Classification,0.05,2,True,1.0,0.7561,0.54285,0.7561,0.54285,0.6992,0.2431,0.22,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2697-01Z-00-DX1.e11a5b5b-c4be-4fe1-b7db-08879e55d552,CPathAgent,TCGA_LUNG_Classification,0.05,8,True,1.0,1.0,0.625975,1.0,0.625975,0.495,0.193,0.1613,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2698-01Z-00-DX1.738ae69e-5170-46d6-b691-9f761f9a794b,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-60-2703-01Z-00-DX1.13cdede5-0135-4e05-9478-3b728cad247e,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,2.0,0.8951,0.3495,0.8951,0.52115,0.6224,0.0901,0.0854,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-60-2704-01Z-00-DX1.e904afb3-7935-4df5-90dc-f7151e15b31b,CPathAgent,TCGA_LUNG_Classification,0.05,5,True,1.0,1.0,0.8,1.0,1.0,0.6198,0.0886,0.0841,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2706-01Z-00-DX1.db003232-66ab-437e-81c7-f490310ca03a,CPathAgent,TCGA_LUNG_Classification,0.05,5,True,1.0,0.872,0.18714,0.872,0.46785,0.0372,0.0202,0.0133,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-60-2707-01Z-00-DX1.4aafd76b-eb0e-4ab9-a740-682c169a3c3d,CPathAgent,TCGA_LUNG_Classification,0.05,7,True,1.0,0.9999,0.3966571428571429,0.9999,0.4627666666666667,0.2779,0.7607,0.2555,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2708-01Z-00-DX1.3b59f6dc-02f8-4118-9037-f18ebb9bd539,CPathAgent,TCGA_LUNG_Classification,0.05,6,True,1.0,1.0,0.64355,1.0,0.77226,0.5112,0.3575,0.2664,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-60-2709-01Z-00-DX1.ded10e7c-c1ca-4402-be0e-f3978994d4af,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,1.0,0.9623,0.6818,0.9623,0.6818,0.6148,0.0884,0.0837,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-60-2710-01Z-00-DX1.45f8ef49-d5bb-404c-9ac5-c7882bc59b45,CPathAgent,TCGA_LUNG_Classification,0.05,4,True,2.0,0.1463,0.06405,0.1463,0.1281,0.0855,0.1824,0.0618,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2711-01Z-00-DX1.186b9a92-fcae-45b6-a52c-e8da0c1a419c,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-60-2712-01Z-00-DX1.97003dfc-4b37-4491-86e8-0801e6825aae,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-60-2713-01Z-00-DX1.8cc5fb8d-be9c-4f25-b088-85e1feff834a,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-60-2714-01Z-00-DX1.13f280a8-c8d3-48bb-8a38-49ce9ad9e1a2,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-60-2715-01Z-00-DX1.22710dc4-eaf5-44c2-8438-c6dcfae1d452,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-60-2716-01Z-00-DX1.28642302-a114-4e80-b9db-c04eee7d92d8,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-60-2719-01Z-00-DX1.e834671a-7468-4517-bf95-4e100f87e9a3,CPathAgent,TCGA_LUNG_Classification,0.05,3,True,1.0,1.0,0.8369333333333334,1.0,0.8369333333333334,0.7548,0.236,0.2192,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2720-01Z-00-DX1.5ff16714-210d-44c3-856a-5877fd06e986,CPathAgent,TCGA_LUNG_Classification,0.05,8,True,1.0,0.8985,0.34626250000000003,0.8985,0.4616833333333333,0.2737,0.3644,0.1853,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2721-01Z-00-DX1.8ea139d5-018b-4a66-915e-4784c808742e,CPathAgent,TCGA_LUNG_Classification,0.05,12,True,2.0,0.95,0.30624999999999997,0.95,0.73044,0.2041,0.5133,0.171,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-60-2722-01Z-00-DX1.f3781266-e8dc-4386-9702-5b29e6f2cfa3,CPathAgent,TCGA_LUNG_Classification,0.05,2,True,1.0,0.9571,0.47855,0.9571,0.9571,0.1915,0.1688,0.0986,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-60-2723-01Z-00-DX1.1c12de5a-5d31-468e-9169-feb23d24e7d6,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-60-2724-01Z-00-DX1.98f9e48f-9c09-4969-aa34-05666616ee9a,CPathAgent,TCGA_LUNG_Classification,0.05,16,True,2.0,0.9886,0.17141875,0.9886,0.5384800000000001,0.2082,0.6202,0.1847,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,False,True
TCGA-60-2725-01Z-00-DX1.b9d038d6-c2fb-4e46-a4ef-80fdbfb56d0a,CPathAgent,TCGA_LUNG_Classification,0.05,18,True,1.0,1.0,0.6307722222222223,1.0,0.7092875,0.6324,0.4882,0.3803,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-60-2726-01Z-00-DX1.3c30934b-c93a-4dad-9c44-b417eae17137,CPathAgent,TCGA_LUNG_Classification,0.05,1,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,,False
TCGA-62-A46O-01Z-00-DX1.39B361AD-ED1D-4C0C-8611-0E8CCBDBD252,CPathAgent,TCGA_LUNG_Classification,0.05,14,True,1.0,1.0,0.4059214285714286,1.0,0.6314333333333333,0.4092,0.3709,0.2416,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
TCGA-62-A46P-01Z-00-DX1.9136CC96-51B9-4FEB-8BCF-2C3676C708B1,CPathAgent,TCGA_LUNG_Classification,0.05,4,True,1.0,0.9609,0.7091000000000001,0.9609,0.7091000000000001,0.6408,0.0655,0.0631,/work/Agent_benchmark/CPathAgent/post_eval/TCGA_LUNG_Classification/ROI/roi_overlap_results.csv,True,True
