method,task,n,mean_final_score,median_final_score,std_final_score,min_final_score,max_final_score,correct_rate
CPathAgent,TCGA_BRCA_subtype,85,0.7823529411764706,1.0,0.3402297790038496,0.0,1.0,0.6352941176470588
PathAgent,TCGA_BRCA_subtype,86,0.6104651162790697,0.5,0.31060815858662594,0.0,1.0,0.6627906976744186
Pathology-CoT,TCGA_BRCA_subtype,93,0.8494623655913979,1.0,0.2421029496767217,0.0,1.0,0.6989247311827957
slide_seek,TCGA_BRCA_subtype,93,0.43010752688172044,0.5,0.36558022560824277,0.0,1.0,0.5483870967741935
CPathAgent,TCGA_LUNG_Classification,607,0.78665568369028,1.0,0.2589070421950133,0.0,1.0,0.6309719934102141
PathAgent,TCGA_LUNG_Classification,803,0.7665006226650062,1.0,0.32357276631286896,0.0,1.0,0.6102117061021171
Pathology-CoT,TCGA_LUNG_Classification,858,0.9213286713286714,1.0,0.19305226683488552,0.0,1.0,0.8041958041958042
slide_seek,TCGA_LUNG_Classification,855,0.6467836257309941,0.5,0.36508741850517573,0.0,1.0,0.4058479532163743
